iter	Passed	Remaining
402	5348	7922
403	5362	7910
404	5371	7891
405	5383	7876
406	5394	7860
407	5404	7841
408	5416	7826
409	5427	7810
410	5438	7793
411	5449	7777
412	5461	7762
413	5471	7744
414	5482	7728
415	5493	7712
416	5504	7695
417	5516	7680
418	5528	7666
419	5538	7649
420	5550	7632
421	5561	7617
422	5571	7599
423	5581	7582
424	5593	7568
425	5604	7552
426	5616	7537
427	5628	7522
428	5645	7514
429	5665	7510
430	5682	7501
431	5699	7493
432	5716	7485
433	5736	7480
434	5755	7475
435	5766	7459
436	5779	7446
437	5792	7432
438	5804	7417
439	5815	7401
440	5829	7389
441	5842	7375
442	5855	7362
443	5876	7358
444	5889	7345
445	5898	7327
446	5912	7314
447	5924	7300
448	5935	7284
449	5945	7266
450	5957	7251
451	5969	7236
452	5979	7220
453	5990	7204
454	6002	7189
455	6015	7176
456	6028	7162
457	6041	7149
458	6053	7135
459	6063	7118
460	6074	7102
461	6087	7089
462	6097	7072
463	6109	7057
464	6123	7045
465	6137	7032
466	6152	7022
467	6162	7005
468	6177	6994
469	6190	6980
470	6202	6966
471	6212	6949
472	6224	6934
473	6237	6921
474	6248	6905
475	6257	6888
476	6268	6872
477	6277	6855
478	6289	6841
479	6301	6826
480	6311	6809
481	6321	6793
482	6333	6779
483	6343	6762
484	6355	6749
485	6368	6734
486	6379	6720
487	6389	6703
488	6401	6689
489	6412	6674
490	6423	6658
491	6437	6646
492	6450	6633
493	6461	6618
494	6471	6602
495	6482	6586
496	6491	6570
497	6502	6554
498	6514	6540
499	6523	6523
500	6535	6509
501	6546	6494
502	6556	6478
503	6569	6464
504	6580	6450
505	6590	6434
506	6602	6419
507	6613	6404
508	6626	6392
509	6636	6376
510	6647	6361
511	6659	6347
512	6670	6332
513	6681	6317
514	6694	6304
515	6703	6287
516	6714	6273
517	6727	6259
518	6737	6243
519	6748	6229
520	6760	6215
521	6770	6199
522	6784	6187
523	6797	6174
524	6811	6162
525	6826	6151
526	6841	6140
527	6853	6126
528	6865	6112
529	6877	6098
530	6889	6085
531	6899	6069
532	6911	6055
533	6923	6041
534	6932	6025
535	6944	6011
536	6956	5997
537	6966	5982
538	6979	5969
539	6991	5955
540	7000	5939
541	7012	5925
542	7026	5913
543	7038	5899
544	7048	5884
545	7060	5870
546	7075	5859
547	7087	5846
548	7097	5830
549	7108	5816
550	7121	5803
551	7130	5787
552	7142	5773
553	7154	5759
554	7164	5744
555	7176	5731
556	7187	5716
557	7198	5701
558	7208	5687
559	7220	5673
560	7230	5657
